%1-Time (s)	2-Velocity (m/s)	3-Yaw (rad)
12.17	0.0	-0.007
12.18	0.0	-0.007
12.28	0.0	-0.007
12.38	0.0	-0.009
12.48	0.0	-0.01
12.58	0.0	-0.028
12.68	0.0	-0.011
12.78	0.0	-0.008
12.88	0.0	-0.007
12.99	0.0	-0.015
13.11	0.0	-0.014
13.18	0.0	-0.002
13.29	0.0	0.011
13.38	0.0	0.018
13.48	0.0	0.019
13.58	0.0	-0.003
13.68	0.0	-0.013
13.78	0.0	-0.006
13.88	0.0	-0.003
13.98	0.0	-0.0
14.08	0.0	-0.011
14.18	0.0	-0.0
14.28	0.0	0.001
14.38	0.0	0.012
14.48	0.0	0.01
14.58	0.0	-0.006
14.68	0.0	0.001
14.78	0.0	0.006
14.88	0.0	0.007
14.98	0.0	0.009
15.1	0.0859238952398	-0.025
15.18	0.0859238952398	-0.037
15.28	0.10279674083	0.003
15.38	0.105614796281	-0.056
15.48	0.0823437348008	-0.026
15.58	0.131154447794	-0.006
15.68	0.102034628391	-0.024
15.78	0.116355285048	-0.034
15.88	0.113430887461	-0.007
15.98	0.0823437348008	-0.043
16.08	0.141788616776	0.032
16.18	0.10919495672	-0.034
16.28	0.102034628391	0.04
16.39	0.0868455246091	0.033
16.48	0.0823437348008	0.052
16.58	0.146786674857	0.008
16.68	0.159512192011	-0.007
16.78	0.107404880226	0.007
16.88	0.0859238952398	0.037
16.98	0.0354471541941	0.043
17.08	0.268512189388	0.037
17.18	0.193328782916	0.095
17.28	0.300101846457	0.025
17.38	0.501222729683	-0.038
17.48	0.48208129406	0.001
17.59	0.610417664051	0.032
17.68	0.613997876644	-0.066
17.79	0.647588193417	0.105
17.88	0.680230855942	0.063
17.98	0.687391161919	0.014
18.08	0.682357609272	0.117
18.18	0.682020962238	0.117
18.28	0.692761421204	0.131
18.38	0.684130072594	0.104
18.48	0.694551587105	-0.021
18.58	0.684130072594	-0.043
18.68	0.696341633797	-0.029
18.78	0.689447164536	-0.009
18.88	0.685902357101	-0.208
18.98	0.687391161919	0.05
19.08	0.689181268215	0.027
19.18	0.684130072594	-0.07
19.28	0.689181268215	-0.056
19.38	0.692761421204	0.067
19.48	0.685902357101	0.047
19.58	0.682020962238	0.075
19.68	0.685601115227	0.112
19.78	0.668648004532	0.1
19.88	0.682020962238	0.035
19.98	0.675268232822	0.002
20.09	0.67307060957	-0.05
20.18	0.676650702953	-0.086
20.28	0.664634048939	-0.044
20.38	0.671280443668	-0.043
20.48	0.671280443668	-0.051
20.6	0.652853131294	-0.098
20.68	0.667700350285	-0.051
20.78	0.669490337372	-0.164
20.88	0.659317016602	-0.185
20.98	0.665910243988	-0.138
21.08	0.657544672489	-0.159
21.18	0.662330031395	0.024
21.28	0.655169725418	-0.099
21.38	0.648682892323	0.051
21.48	0.656959891319	-0.003
21.58	0.648682892323	0.047
21.68	0.659317016602	-0.034
21.78	0.660539984703	0.003
21.88	0.655169725418	-0.022
