%1-Time (s)	2-Velocity (m/s)	3-Yaw (rad)	4-ax	4-ay	4-az
22.99	0.0	-0.005	0.075	-0.005	2.355
23.0	0.0	-0.005	0.114	-0.007	3.598
23.1	0.0	0.006	0.146	-0.01	4.254
23.2	0.0	0.012	0.156	-0.012	4.605
23.3	0.0	-0.001	0.159	-0.009	4.788
23.43	0.0	-0.008	0.172	-0.011	4.873
23.5	0.0	-0.015	0.17	-0.011	4.927
23.6	0.0	-0.014	0.171	-0.01	4.963
23.7	0.0	-0.014	0.169	-0.012	4.977
23.8	0.0	-0.015	0.178	-0.011	4.982
23.9	0.0	-0.015	0.177	-0.013	4.985
24.0	0.0	-0.014	0.168	-0.011	4.991
24.11	0.0	-0.014	0.17	-0.01	4.991
24.2	0.0	-0.015	0.178	-0.008	4.987
24.43	0.0	-0.015	0.173	-0.004	4.985
24.44	0.0	-0.013	0.164	-0.004	4.984
24.5	0.0	-0.013	0.168	-0.007	4.99
24.6	0.0	-0.014	0.174	-0.01	4.982
24.7	0.0	-0.014	0.164	-0.008	4.996
24.8	0.0	-0.013	0.166	-0.006	4.992
24.9	0.0	-0.014	0.173	-0.01	4.99
25.0	0.0	-0.014	0.168	-0.012	4.991
25.1	0.0	-0.013	0.166	-0.013	4.994
25.33	0.0	-0.013	0.167	-0.018	4.989
25.38	0.0	-0.006	0.165	-0.016	4.986
25.4	0.0	-0.006	0.166	-0.009	4.994
25.5	0.0	0.007	0.165	-0.007	4.998
25.6	0.0	0.005	0.177	-0.006	4.986
25.7	0.0	0.004	0.175	-0.01	4.985
25.8	0.0	-0.001	0.167	-0.005	4.986
25.92	0.0	-0.001	0.167	-0.005	4.982
26.0	0.0	-0.007	0.17	-0.009	4.987
26.24	0.0	-0.006	0.16	-0.009	4.99
26.25	0.0	-0.005	0.159	-0.014	4.973
26.3	0.0	-0.006	0.165	-0.012	4.975
26.4	-0.00358016253449	-0.015	0.239	-0.006	5.024
26.49	0.0673495829105	-0.02	0.228	0.017	5.054
26.59	0.0984544679523	-0.002	0.091	0.007	5.012
26.69	0.0886178836226	-0.019	0.333	-0.01	5.012
26.79	0.0912941396236	-0.039	0.327	-0.012	5.003
26.91	0.103824712336	-0.043	0.369	-0.002	5.115
26.99	-0.0947690084577	0.005	-0.065	-0.028	5.123
27.1	0.0984544679523	0.038	-0.028	-0.033	5.027
27.19	0.127095773816	0.029	0.015	-0.022	4.984
27.29	0.138243898749	0.023	0.037	-0.025	5.117
27.39	0.200489118695	0.049	-0.222	-0.205	5.797
27.49	0.223760157824	0.083	-0.382	-0.106	5.566
27.6	0.163056924939	0.08	-0.172	0.014	4.95
27.7	0.349065840244	0.041	0.024	-0.02	5.347
27.8	0.235723555088	0.004	0.214	-0.119	5.77
27.9	0.144996598363	-0.028	0.305	0.123	4.406
28.0	0.300733625889	-0.031	0.211	-0.046	4.446
28.35	0.243451058865	-0.002	0.086	-0.067	4.959
28.39	0.315896689892	0.004	0.251	0.012	5.135
28.4	0.315896689892	0.017	0.029	-0.134	5.335
28.42	0.315896689892	0.03	0.072	-0.145	5.349
28.5	0.366966664791	0.013	0.18	-0.077	4.756
28.6	0.318634450436	-0.006	0.188	0.104	4.802
28.7	0.319024384022	0.001	0.14	-0.049	4.946
28.8	0.445730239153	-0.019	0.261	0.205	4.606
28.91	0.41350877285	-0.01	0.197	0.079	4.811
29.0	0.457268297672	-0.009	0.203	0.073	4.829
29.14	0.467211216688	-0.006	0.173	0.043	4.818
29.24	0.494487762451	-0.047	0.374	0.007	4.851
29.3	0.549430847168	-0.058	0.342	-0.035	5.071
29.4	0.544184684753	-0.037	0.187	0.034	5.021
29.5	0.545886158943	-0.027	0.21	0.049	4.996
29.6	0.5620855093	-0.035	0.316	-0.046	5.051
29.7	0.554925203323	-0.071	0.547	-0.124	4.874
29.8	0.544113814831	-0.09	0.501	-0.16	4.896
29.9	0.54597479105	-0.074	0.452	-0.107	5.102
30.0	0.563609778881	-0.061	0.324	-0.041	5.184
30.1	0.55474793911	-0.025	0.101	0.035	5.078
30.2	0.560295462608	0.002	0.038	0.052	4.985
30.3	0.553135097027	-0.01	0.185	-0.063	5.048
30.4	0.547658443451	-0.05	0.407	-0.139	4.911
30.5	0.540604531765	-0.067	0.396	-0.137	4.967
30.6	0.547658443451	-0.069	0.43	-0.117	5.135
30.7	0.556715250015	-0.053	0.277	-0.051	5.237
30.8	0.553135097027	-0.015	0.058	0.014	5.178
30.9	0.54404437542	-0.012	0.189	0.071	5.154
31.0	0.554925203323	-0.03	0.231	0.06	5.01
31.1	0.544184684753	-0.066	0.465	-0.007	4.794
31.19	0.547658443451	-0.084	0.449	-0.047	4.924
31.3	0.558505356312	-0.074	0.404	-0.029	5.031
31.42	0.553135097027	-0.068	0.401	-0.036	5.182
31.55	0.54228925705	-0.066	0.392	-0.041	5.158
31.6	0.556715250015	-0.068	0.417	0.012	5.195
31.7	0.542341411114	-0.034	0.098	0.033	4.957
31.8	0.542341411114	-0.027	0.267	-0.075	4.843
31.89	0.52449375391	-0.053	0.371	-0.094	5.042
31.99	0.542394638062	-0.049	0.271	-0.018	5.159
32.1	0.55120319128	-0.001	-0.006	0.04	5.042
32.2	0.558505356312	0.037	-0.058	0.044	4.933
32.3	0.569245815277	0.057	-0.182	-0.004	4.945
32.39	0.531707286835	0.04	0.04	-0.009	4.974
32.5	0.501222729683	-0.01	0.24	-0.077	4.996
32.6	0.520913660526	-0.021	0.242	-0.036	5.141
32.7	0.538796663284	0.002	0.046	-0.01	5.105
32.8	0.544184684753	-0.008	0.165	0.067	5.043
32.9	0.558505356312	0.003	-0.017	0.026	5.164
33.0	0.558292686939	-0.014	0.355	-0.009	4.843
33.1	0.558505356312	-0.058	0.379	-0.072	4.817
33.2	0.545886158943	-0.063	0.429	-0.034	4.972
33.3	0.524617791176	-0.034	0.204	-0.029	5.095
