%1-PWM	2-Yaw (rad)
280	6.037
281	6.012
282	6.013
283	6.014
284	6.012
285	6.014
286	6.017
287	6.007
288	6.016
289	6.016
290	6.015
291	6.016
292	6.025
293	6.026
294	6.006
295	6.013
296	6.011
297	6.015
298	6.014
299	6.017
300	6.006
301	6.03
302	6.028
303	6.031
304	6.029
305	6.035
306	6.031
307	6.041
308	6.024
309	6.043
310	6.04
311	6.045
312	6.038
313	6.046
314	6.05
315	6.053
316	6.059
317	6.048
318	6.049
319	6.052
320	6.058
321	6.073
322	6.062
323	6.083
324	6.067
325	6.066
326	6.081
327	6.093
328	6.092
329	6.095
330	6.083
331	6.083
332	6.09
333	6.08
334	6.09
335	6.099
336	6.101
337	6.101
338	6.101
339	6.11
340	6.11
341	6.108
342	6.123
343	6.127
344	6.128
345	6.13
346	6.151
347	6.139
348	6.138
349	6.128
350	6.141
351	6.144
352	6.144
353	6.145
354	6.149
355	6.17
356	6.177
357	6.162
358	6.154
359	6.172
360	6.168
361	6.167
362	6.178
363	6.181
364	6.179
365	6.179
366	6.172
367	6.181
368	6.188
369	6.186
370	6.212
371	6.2
372	6.201
373	6.2
374	6.201
375	6.209
376	6.217
377	6.225
378	6.214
379	6.231
380	6.235
381	6.231
382	6.233
383	6.227
384	6.245
385	6.267
386	6.252
387	6.255
388	6.248
389	6.249
390	6.247
391	6.267
392	6.253
393	0.004
394	6.27
395	6.281
396	0.003
397	6.282
398	6.267
399	0.02
400	0.019
401	0.024
402	0.04
403	0.026
404	0.033
405	0.03
406	0.036
407	0.044
408	0.052
409	0.022
410	0.057
411	0.049
412	0.044
413	0.055
414	0.035
415	0.053
416	0.061
417	0.054
418	0.075
419	0.067
420	0.083
421	0.094
422	0.096
423	0.064
424	0.109
425	0.098
426	0.098
427	0.1
428	0.098
429	0.128
430	0.1
431	0.119
432	0.107
433	0.104
434	0.126
435	0.126
436	0.15
437	0.136
438	0.117
439	0.163
440	0.144
441	0.149
442	0.148
443	0.146
444	0.173
445	0.16
446	0.151
447	0.167
448	0.179
449	0.18
450	0.179
451	0.18
452	0.184
453	0.194
454	0.193
455	0.194
456	0.18
457	0.203
458	0.204
459	0.208
460	0.206
461	0.219
462	0.224
463	0.241
464	0.244
465	0.238
466	0.236
467	0.249
468	0.245
469	0.265
470	0.269
471	0.27
472	0.274
473	0.288
474	0.281
475	0.271
476	0.281
477	0.285
478	0.267
479	0.296
480	0.315
481	0.301
482	0.309
483	0.281
484	0.305
485	0.281
486	0.318
487	0.294
488	0.311
489	0.344
490	0.345
491	0.347
492	0.354
493	0.359
494	0.35
495	0.346
496	0.365
497	0.355
498	0.345
499	0.347
500	0.356
501	0.322
502	0.356
503	0.316
504	0.355
505	0.345
506	0.38
507	0.341
508	0.337
509	0.362
510	0.343
511	0.332
512	0.363
513	0.367
514	0.354
515	0.337
516	0.343
517	0.355
518	0.368
519	0.354
520	0.388
521	0.363
522	0.364
523	0.376
524	0.347
525	0.354
526	0.362
527	0.362
528	0.351
529	0.374
530	0.339
531	0.337
532	0.363
533	0.343
534	0.37
535	0.336
536	0.353
537	0.347
538	0.36
539	0.363
540	0.333
541	0.337
542	0.358
543	0.359
544	0.361
545	0.352
546	0.324
547	0.335
548	0.345
549	0.354
550	0.355
551	0.363
